ts,id_cella,ship_t35,agv_t35,ship_t60-69,agv_t60-69,ship_t70-79,agv_t70-79,ship_to,agv_to
2015-05-03,I16,35,,60-69,0.43,70-79,6.6,others,1.6
2015-05-03,F14,35,,60-69,,70-79,0.86,others,1.3
2015-05-03,A34,35,,60-69,,70-79,1.1,others,0.29
2015-05-03,B28,35,,60-69,,70-79,1.1,others,0.14
2015-05-03,D39,35,,60-69,,70-79,2.6,others,0.57
2015-05-03,E23,35,,60-69,,70-79,1.4,others,
2015-05-03,F21,35,,60-69,,70-79,0.29,others,0.43
2015-05-03,D1,35,,60-69,0.14,70-79,1.4,others,6.0
2015-05-03,I21,35,,60-69,,70-79,0.14,others,
2015-05-03,I22,35,,60-69,,70-79,0.14,others,
2015-05-03,H22,35,,60-69,,70-79,0.14,others,
2015-05-03,H23,35,,60-69,,70-79,0.14,others,
2015-05-03,G23,35,,60-69,,70-79,0.14,others,
2015-05-03,I9,35,,60-69,0.43,70-79,,others,
2015-05-03,F23,35,,60-69,,70-79,0.14,others,
2015-05-03,F22,35,,60-69,,70-79,0.14,others,
2015-05-03,E8,35,,60-69,,70-79,,others,0.14
2015-05-03,A36,35,,60-69,,70-79,0.71,others,0.14
2015-05-03,E19,35,,60-69,,70-79,0.29,others,
2015-05-03,C18,35,,60-69,,70-79,,others,0.14
2015-05-03,B33,35,,60-69,,70-79,0.43,others,
2015-05-03,E24,35,,60-69,,70-79,0.14,others,
2015-05-03,G20,35,,60-69,,70-79,,others,0.14
2015-05-03,D36,35,,60-69,,70-79,0.43,others,0.29
2015-05-03,F28,35,,60-69,,70-79,0.14,others,
2015-05-03,D37,35,,60-69,,70-79,0.57,others,0.29
2015-05-03,F17,35,,60-69,,70-79,0.14,others,0.29
2015-05-03,D10,35,,60-69,,70-79,0.29,others,0.14
2015-05-03,G15,35,,60-69,,70-79,0.71,others,
2015-05-03,A35,35,,60-69,,70-79,1.0,others,0.29
2015-05-03,D38,35,,60-69,,70-79,0.71,others,0.43
2015-05-03,B34,35,,60-69,,70-79,0.57,others,
2015-05-03,H15,35,,60-69,,70-79,2.0,others,0.43
2015-05-03,A31,35,,60-69,,70-79,0.29,others,
2015-05-03,C36,35,,60-69,,70-79,0.43,others,0.14
2015-05-03,G16,35,,60-69,,70-79,1.0,others,0.29
2015-05-03,B24,35,,60-69,,70-79,,others,0.14
2015-05-03,B23,35,,60-69,,70-79,,others,0.14
2015-05-03,A18,35,,60-69,,70-79,,others,0.14
2015-05-03,G13,35,,60-69,,70-79,0.14,others,
2015-05-03,G14,35,,60-69,,70-79,,others,0.14
2015-05-03,B35,35,,60-69,,70-79,0.71,others,
2015-05-03,G7,35,,60-69,0.14,70-79,6.9,others,4.6
2015-05-03,E18,35,,60-69,0.14,70-79,1.3,others,0.57
2015-05-03,E9,35,,60-69,,70-79,,others,0.43
2015-05-03,F18,35,,60-69,,70-79,1.0,others,
2015-05-03,D9,35,,60-69,,70-79,0.29,others,0.43
2015-05-03,C35,35,,60-69,,70-79,0.71,others,0.14
2015-05-03,F10,35,,60-69,1.0,70-79,1.3,others,0.43
2015-05-03,D21,35,,60-69,0.14,70-79,2.0,others,1.1
2015-05-03,B30,35,,60-69,,70-79,0.86,others,0.29
2015-05-03,H14,35,,60-69,,70-79,1.0,others,0.57
2015-05-03,H10,35,,60-69,1.4,70-79,6.3,others,1.6
2015-05-03,C24,35,,60-69,0.14,70-79,1.7,others,0.14
2015-05-03,F8,35,,60-69,7.9,70-79,3.0,others,7.3
2015-05-03,C28,35,,60-69,0.14,70-79,0.71,others,0.29
2015-05-03,F30,35,,60-69,,70-79,3.9,others,0.14
2015-05-03,G9,35,,60-69,0.71,70-79,1.4,others,2.7
2015-05-03,B31,35,,60-69,,70-79,0.57,others,0.14
2015-05-03,D35,35,,60-69,,70-79,0.57,others,0.29
2015-05-03,E28,35,,60-69,0.29,70-79,5.6,others,0.14
2015-05-03,E31,35,,60-69,,70-79,1.1,others,0.14
2015-05-03,I10,35,,60-69,0.57,70-79,3.0,others,0.71
2015-05-03,D25,35,,60-69,,70-79,3.0,others,0.57
2015-05-03,F12,35,,60-69,0.29,70-79,1.7,others,1.1
2015-05-03,C31,35,,60-69,,70-79,0.71,others,
2015-05-03,C23,35,,60-69,0.14,70-79,1.6,others,0.14
2015-05-03,H19,35,,60-69,,70-79,0.57,others,
2015-05-03,E15,35,,60-69,0.57,70-79,2.0,others,1.7
2015-05-03,A30,35,,60-69,,70-79,0.29,others,
2015-05-03,G6,35,,60-69,0.14,70-79,3.6,others,1.0
2015-05-03,D17,35,,60-69,0.43,70-79,1.6,others,1.7
2015-05-03,G12,35,,60-69,0.14,70-79,0.29,others,0.14
2015-05-03,F19,35,,60-69,,70-79,2.3,others,0.14
2015-05-03,C39,35,,60-69,,70-79,1.7,others,0.14
2015-05-03,B25,35,,60-69,,70-79,0.86,others,0.14
2015-05-03,C32,35,,60-69,,70-79,1.4,others,
2015-05-03,D29,35,,60-69,,70-79,0.43,others,
2015-05-03,E22,35,,60-69,,70-79,2.3,others,0.14
2015-05-03,B18,35,,60-69,,70-79,,others,0.57
2015-05-03,A37,35,,60-69,,70-79,1.7,others,0.29
2015-05-03,D7,35,,60-69,,70-79,0.29,others,0.86
2015-05-03,G19,35,,60-69,,70-79,1.4,others,0.43
2015-05-03,C1,35,,60-69,,70-79,0.14,others,0.86
2015-05-03,A38,35,,60-69,,70-79,2.3,others,0.29
2015-05-03,E13,35,,60-69,0.57,70-79,1.6,others,0.57
2015-05-03,A39,35,,60-69,,70-79,2.3,others,0.29
2015-05-03,C30,35,,60-69,,70-79,0.71,others,
2015-05-03,C37,35,,60-69,,70-79,0.57,others,0.14
2015-05-03,C33,35,,60-69,,70-79,1.3,others,0.14
2015-05-03,D33,35,,60-69,,70-79,0.86,others,0.14
2015-05-03,G32,35,,60-69,,70-79,2.4,others,0.43
2015-05-03,D22,35,,60-69,,70-79,1.9,others,0.86
2015-05-03,G10,35,,60-69,1.3,70-79,1.0,others,1.4
2015-05-03,D32,35,,60-69,,70-79,1.6,others,0.14
2015-05-03,D6,35,,60-69,,70-79,1.0,others,1.0
2015-05-03,D34,35,,60-69,,70-79,0.71,others,0.29
2015-05-03,G11,35,,60-69,0.14,70-79,0.57,others,0.86
2015-05-03,G18,35,,60-69,,70-79,2.1,others,0.43
2015-05-03,H18,35,,60-69,,70-79,0.29,others,0.29
2015-05-03,F13,35,,60-69,0.14,70-79,1.3,others,1.3
2015-05-03,E12,35,,60-69,0.43,70-79,1.1,others,0.57
2015-05-03,D31,35,,60-69,,70-79,1.9,others,0.14
2015-05-03,D8,35,,60-69,,70-79,0.43,others,0.71
2015-05-03,D18,35,,60-69,0.57,70-79,2.4,others,2.3
2015-05-03,I11,35,,60-69,2.4,70-79,9.0,others,1.9
2015-05-03,F7,35,,60-69,4.4,70-79,5.1,others,3.9
2015-05-03,E11,35,,60-69,0.29,70-79,0.29,others,0.57
2015-05-03,D23,35,,60-69,,70-79,2.9,others,0.86
2015-05-03,C21,35,,60-69,0.14,70-79,1.0,others,0.14
2015-05-03,D30,35,,60-69,,70-79,1.3,others,
2015-05-03,F31,35,,60-69,,70-79,3.3,others,0.29
2015-05-03,C20,35,,60-69,0.14,70-79,1.3,others,22
2015-05-03,G33,35,,60-69,,70-79,9.0,others,3.7
2015-05-03,E30,35,,60-69,,70-79,2.4,others,0.14
2015-05-03,D3,35,,60-69,0.14,70-79,1.3,others,4.9
2015-05-03,B27,35,,60-69,,70-79,1.1,others,0.14
2015-05-03,H17,35,,60-69,,70-79,1.6,others,0.43
2015-05-03,D24,35,,60-69,,70-79,3.3,others,0.71
2015-05-03,B19,35,,60-69,,70-79,,others,0.57
2015-05-03,F15,35,,60-69,,70-79,1.6,others,0.43
2015-05-03,H11,35,,60-69,0.57,70-79,3.0,others,1.0
2015-05-03,F27,35,,60-69,,70-79,0.57,others,
2015-05-03,H9,35,,60-69,1.4,70-79,6.3,others,1.1
2015-05-03,C27,35,,60-69,0.14,70-79,0.71,others,0.43
2015-05-03,E5,35,,60-69,0.43,70-79,1.6,others,7.0
2015-05-03,D4,35,,60-69,0.14,70-79,1.3,others,4.9
2015-05-03,B38,35,,60-69,,70-79,1.7,others,0.14
2015-05-03,I13,35,,60-69,2.6,70-79,5.1,others,3.0
2015-05-03,E16,35,,60-69,0.57,70-79,2.7,others,2.0
2015-05-03,H16,35,,60-69,,70-79,1.9,others,0.57
2015-05-03,D40,35,,60-69,,70-79,3.3,others,0.57
2015-05-03,G30,35,,60-69,,70-79,2.4,others,0.29
2015-05-03,D27,35,,60-69,,70-79,3.1,others,
2015-05-03,H12,35,,60-69,0.43,70-79,2.6,others,0.29
2015-05-03,D20,35,,60-69,0.86,70-79,2.6,others,9.4
2015-05-03,F6,35,,60-69,4.0,70-79,9.4,others,2.9
2015-05-03,E17,35,,60-69,0.57,70-79,2.7,others,2.3
2015-05-03,B37,35,,60-69,,70-79,1.6,others,
2015-05-03,J14,35,,60-69,1.3,70-79,9.6,others,4.4
2015-05-03,C26,35,,60-69,0.14,70-79,1.0,others,0.43
2015-05-03,D19,35,,60-69,0.57,70-79,3.0,others,3.0
2015-05-03,F16,35,,60-69,,70-79,0.57,others,0.43
2015-05-03,B36,35,,60-69,,70-79,1.3,others,
2015-05-03,C29,35,,60-69,,70-79,0.43,others,
2015-05-10,E21,35,,60-69,,70-79,1.4,others,0.14
2015-05-10,J14,35,,60-69,0.57,70-79,3.7,others,2.4
2015-05-10,E6,35,,60-69,0.14,70-79,0.14,others,1.0
2015-05-10,I12,35,,60-69,1.1,70-79,1.7,others,1.1
2015-05-10,G6,35,,60-69,0.14,70-79,1.9,others,0.86
2015-05-10,A37,35,,60-69,,70-79,0.43,others,0.14
2015-05-10,H8,35,,60-69,6.3,70-79,5.6,others,1.6
2015-05-10,D40,35,,60-69,,70-79,0.71,others,
2015-05-10,C29,35,,60-69,,70-79,0.43,others,
2015-05-10,G31,35,,60-69,,70-79,2.0,others,0.29
2015-05-10,C34,35,,60-69,,70-79,0.29,others,
2015-05-10,C30,35,,60-69,,70-79,0.43,others,
2015-05-10,D2,35,,60-69,0.14,70-79,0.43,others,0.57
2015-05-10,E13,35,,60-69,0.43,70-79,0.71,others,0.14
2015-05-10,D4,35,,60-69,0.14,70-79,0.43,others,0.71
2015-05-10,C31,35,,60-69,,70-79,0.29,others,
2015-05-10,E28,35,,60-69,,70-79,2.3,others,0.43
2015-05-10,F16,35,,60-69,0.14,70-79,0.29,others,
2015-05-10,A35,35,,60-69,,70-79,0.29,others,0.29
2015-05-10,F31,35,,60-69,,70-79,1.4,others,0.29
2015-05-10,D33,35,,60-69,,70-79,0.86,others,0.14
2015-05-10,F10,35,,60-69,0.71,70-79,1.0,others,0.14
2015-05-10,C35,35,,60-69,,70-79,0.14,others,
2015-05-10,H18,35,,60-69,,70-79,0.14,others,
2015-05-10,A36,35,,60-69,,70-79,,others,0.14
2015-05-10,B25,35,,60-69,,70-79,0.14,others,
2015-05-10,B26,35,,60-69,,70-79,0.14,others,
2015-05-10,A28,35,,60-69,,70-79,0.14,others,
2015-05-10,A29,35,,60-69,,70-79,0.14,others,
2015-05-10,A30,35,,60-69,,70-79,0.14,others,
2015-05-10,C25,35,,60-69,,70-79,0.29,others,
2015-05-10,A34,35,,60-69,,70-79,0.14,others,0.14
2015-05-10,C24,35,,60-69,,70-79,0.29,others,
2015-05-10,A32,35,,60-69,,70-79,0.29,others,
2015-05-10,A31,35,,60-69,,70-79,0.29,others,
2015-05-10,I9,35,,60-69,0.29,70-79,,others,0.14
2015-05-10,E27,35,,60-69,,70-79,0.14,others,
2015-05-10,E26,35,,60-69,,70-79,0.14,others,
2015-05-10,C23,35,,60-69,,70-79,0.43,others,
2015-05-10,C1,35,,60-69,,70-79,0.14,others,
2015-05-10,C22,35,,60-69,,70-79,0.29,others,
2015-05-10,D35,35,,60-69,,70-79,0.43,others,
2015-05-10,D12,35,,60-69,,70-79,0.14,others,
2015-05-10,E25,35,,60-69,,70-79,0.14,others,
2015-05-10,F14,35,,60-69,,70-79,0.14,others,0.29
2015-05-10,D13,35,,60-69,,70-79,0.14,others,
2015-05-10,F15,35,,60-69,,70-79,0.43,others,0.14
2015-05-10,D36,35,,60-69,,70-79,0.43,others,
2015-05-10,E24,35,,60-69,,70-79,0.43,others,
2015-05-10,F13,35,,60-69,0.14,70-79,0.29,others,0.29
2015-05-10,B39,35,,60-69,,70-79,0.14,others,0.14
2015-05-10,D37,35,,60-69,,70-79,0.43,others,
2015-05-10,F21,35,,60-69,,70-79,0.14,others,
2015-05-10,D38,35,,60-69,,70-79,0.43,others,
2015-05-10,G34,35,,60-69,,70-79,1.4,others,
2015-05-10,D1,35,,60-69,0.29,70-79,0.43,others,0.29
2015-05-10,C37,35,,60-69,,70-79,,others,0.43
2015-05-10,E5,35,,60-69,0.29,70-79,0.29,others,1.3
2015-05-10,B34,35,,60-69,,70-79,0.14,others,
2015-05-10,G12,35,,60-69,0.14,70-79,,others,0.14
2015-05-10,C36,35,,60-69,,70-79,,others,0.14
2015-05-10,G18,35,,60-69,,70-79,0.71,others,
2015-05-10,G13,35,,60-69,0.14,70-79,,others,
2015-05-10,G16,35,,60-69,0.14,70-79,0.71,others,
2015-05-10,D3,35,,60-69,0.14,70-79,0.43,others,0.43
2015-05-10,G19,35,,60-69,,70-79,0.57,others,
2015-05-10,D17,35,,60-69,0.29,70-79,0.71,others,0.14
2015-05-10,C28,35,,60-69,,70-79,0.57,others,0.14
2015-05-10,F29,35,,60-69,,70-79,0.71,others,
2015-05-10,D27,35,,60-69,,70-79,1.4,others,0.14
2015-05-10,I16,35,,60-69,1.3,70-79,2.4,others,1.4
2015-05-10,D19,35,,60-69,0.86,70-79,1.4,others,0.43
2015-05-10,B36,35,,60-69,,70-79,0.29,others,0.29
2015-05-10,B27,35,,60-69,,70-79,0.29,others,
2015-05-10,D11,35,,60-69,,70-79,0.29,others,0.14
2015-05-10,G14,35,,60-69,0.43,70-79,,others,
2015-05-10,D39,35,,60-69,,70-79,0.71,others,
2015-05-10,A39,35,,60-69,,70-79,0.71,others,0.14
2015-05-10,F11,35,,60-69,0.29,70-79,0.57,others,0.14
2015-05-10,D29,35,,60-69,,70-79,0.29,others,
2015-05-10,F22,35,,60-69,,70-79,0.57,others,
2015-05-10,H11,35,,60-69,0.43,70-79,0.86,others,0.71
2015-05-10,E19,35,,60-69,,70-79,,others,0.71
2015-05-10,A38,35,,60-69,,70-79,0.57,others,0.14
2015-05-10,C39,35,,60-69,,70-79,0.29,others,
2015-05-10,D23,35,,60-69,,70-79,0.29,others,
2015-05-10,D22,35,,60-69,,70-79,0.43,others,
2015-05-10,A33,35,,60-69,,70-79,0.14,others,
2015-05-10,F23,35,,60-69,,70-79,0.29,others,
2015-05-10,B33,35,,60-69,,70-79,0.14,others,
2015-05-10,B31,35,,60-69,,70-79,0.14,others,0.14
2015-05-10,C26,35,,60-69,,70-79,0.43,others,
2015-05-10,C38,35,,60-69,,70-79,0.14,others,
2015-05-10,J15,35,,60-69,0.57,70-79,1.7,others,
2015-05-10,E18,35,,60-69,0.29,70-79,0.57,others,0.29
2015-05-10,E14,35,,60-69,0.43,70-79,0.71,others,0.14
2015-05-10,G15,35,,60-69,0.14,70-79,0.43,others,
2015-05-10,D9,35,,60-69,,70-79,0.43,others,
2015-05-10,E9,35,,60-69,,70-79,,others,0.29
2015-05-10,C21,35,,60-69,,70-79,0.29,others,0.14
2015-05-10,D25,35,,60-69,,70-79,1.1,others,
2015-05-10,B38,35,,60-69,,70-79,0.29,others,0.14
2015-05-10,E15,35,,60-69,0.43,70-79,0.71,others,0.29
2015-05-10,E23,35,,60-69,,70-79,0.86,others,
2015-05-10,B30,35,,60-69,,70-79,0.29,others,0.14
2015-05-10,D10,35,,60-69,,70-79,0.43,others,0.14
2015-05-10,E31,35,,60-69,,70-79,0.71,others,0.14
2015-05-10,G17,35,,60-69,,70-79,0.86,others,
2015-05-10,D8,35,,60-69,,70-79,0.43,others,0.14
2015-05-10,G10,35,,60-69,1.0,70-79,0.29,others,0.57
2015-05-10,B37,35,,60-69,,70-79,0.14,others,0.29
2015-05-10,E16,35,,60-69,0.43,70-79,1.0,others,0.29
2015-05-10,D30,35,,60-69,,70-79,0.29,others,0.29
2015-05-10,F17,35,,60-69,0.14,70-79,0.29,others,
2015-05-10,G9,35,,60-69,0.43,70-79,0.14,others,0.86
2015-05-10,G23,35,,60-69,,70-79,0.14,others,
2015-05-10,C19,35,,60-69,,70-79,0.29,others,0.29
2015-05-10,D24,35,,60-69,,70-79,1.1,others,
2015-05-10,B29,35,,60-69,,70-79,0.43,others,0.14
2015-05-10,B35,35,,60-69,,70-79,0.14,others,
2015-05-10,G11,35,,60-69,0.14,70-79,,others,0.29
2015-05-10,E17,35,,60-69,0.57,70-79,1.1,others,0.43
2015-05-10,B28,35,,60-69,,70-79,0.43,others,0.14
2015-05-10,H23,35,,60-69,,70-79,0.14,others,
2015-05-10,G30,35,,60-69,,70-79,1.9,others,0.14
2015-05-10,E12,35,,60-69,0.29,70-79,0.57,others,0.14
2015-05-10,I13,35,,60-69,1.0,70-79,1.3,others,3.7
2015-05-10,D7,35,,60-69,,70-79,0.43,others,0.14
2015-05-10,H14,35,,60-69,0.14,70-79,0.43,others,
2015-05-10,F30,35,,60-69,,70-79,2.4,others,0.43
2015-05-10,E7,35,,60-69,,70-79,,others,0.43
2015-05-10,F9,35,,60-69,9.6,70-79,1.9,others,1.7
2015-05-10,D6,35,,60-69,,70-79,0.86,others,0.14
2015-05-10,E8,35,,60-69,,70-79,,others,0.57
2015-05-10,D5,35,,60-69,0.14,70-79,0.57,others,0.29
2015-05-10,H10,35,,60-69,1.0,70-79,1.6,others,1.0
2015-05-10,C20,35,,60-69,0.14,70-79,0.86,others,7.3
2015-05-10,F18,35,,60-69,,70-79,0.43,others,
2015-05-10,F12,35,,60-69,0.14,70-79,0.43,others,0.43
2015-05-10,D32,35,,60-69,,70-79,1.0,others,0.43
2015-05-10,E22,35,,60-69,,70-79,1.3,others,
2015-05-10,H13,35,,60-69,,70-79,0.29,others,
2015-05-10,D18,35,,60-69,0.57,70-79,1.3,others,0.14
2015-05-10,C32,35,,60-69,,70-79,0.43,others,0.29
2015-05-10,D21,35,,60-69,,70-79,0.86,others,
2015-05-10,C27,35,,60-69,,70-79,0.57,others,0.14
2015-05-10,E10,35,,60-69,,70-79,0.29,others,0.29
2015-05-10,E29,35,,60-69,,70-79,1.0,others,
2015-05-10,H12,35,,60-69,0.14,70-79,0.86,others,0.43
2015-05-10,F20,35,,60-69,,70-79,1.1,others,
2015-05-10,H9,35,,60-69,1.3,70-79,1.6,others,1.1
2015-05-10,D31,35,,60-69,,70-79,1.0,others,0.43
2015-05-10,F19,35,,60-69,,70-79,1.1,others,
2015-05-10,D26,35,,60-69,,70-79,1.1,others,0.14
2015-05-10,D28,35,,60-69,,70-79,1.4,others,0.14
2015-05-10,H16,35,,60-69,,70-79,0.86,others,0.14
2015-05-10,H15,35,,60-69,0.14,70-79,1.1,others,
2015-05-10,H22,35,,60-69,,70-79,0.14,others,
2015-05-10,G7,35,,60-69,0.14,70-79,2.7,others,1.9
2015-05-10,J13,35,,60-69,0.57,70-79,0.14,others,2.0
2015-05-10,F8,35,,60-69,7.7,70-79,1.6,others,2.0
2015-05-10,G32,35,,60-69,,70-79,2.0,others,0.29
2015-05-10,E20,35,,60-69,,70-79,1.1,others,0.71
2015-05-10,D20,35,,60-69,0.86,70-79,1.9,others,1.4
2015-05-10,I11,35,,60-69,2.1,70-79,2.7,others,1.9
2015-05-10,G8,35,,60-69,4.1,70-79,2.9,others,1.3
2015-05-10,D34,35,,60-69,,70-79,0.71,others,0.14
2015-05-10,I14,35,,60-69,1.0,70-79,1.1,others,1.0
2015-05-10,C33,35,,60-69,,70-79,0.14,others,0.29
2015-05-10,E30,35,,60-69,,70-79,1.1,others,0.43
2015-05-10,F6,35,,60-69,4.1,70-79,4.4,others,1.6
2015-05-10,E11,35,,60-69,0.14,70-79,0.29,others,0.14
2015-05-10,I10,35,,60-69,0.71,70-79,0.71,others,0.86
2015-05-10,I15,35,,60-69,1.0,70-79,2.7,others,0.43
2015-05-10,H17,35,,60-69,,70-79,0.57,others,0.14
2015-05-10,I22,35,,60-69,,70-79,0.14,others,
2015-05-10,F7,35,,60-69,4.1,70-79,2.0,others,2.3
2015-05-10,G33,35,,60-69,,70-79,6.3,others,2.1
